faction,section,unit,cost_tier,models,points,version
deathwatch,SPACE MARINES,CENTURION ASSAULT SQUAD,YOUR UNIT COSTS,6,300,v1.0
deathwatch,SPACE MARINES,CENTURION DEVASTATOR SQUAD,YOUR UNIT COSTS,3,175,v1.0
deathwatch,SPACE MARINES,CENTURION DEVASTATOR SQUAD,YOUR UNIT COSTS,6,350,v1.0
deathwatch,SPACE MARINES,CHAPLAIN,YOUR UNIT COSTS,1,60,v1.0
deathwatch,SPACE MARINES,CHAPLAIN IN TERMINATOR ARMOUR,YOUR UNIT COSTS,1,75,v1.0
deathwatch,SPACE MARINES,CHAPLAIN ON BIKE,YOUR UNIT COSTS,1,70,v1.0
deathwatch,SPACE MARINES,CHAPLAIN WITH JUMP PACK,YOUR UNIT COSTS,1,75,v1.0
deathwatch,SPACE MARINES,COMPANY HEROES,YOUR UNIT COSTS,4,105,v1.0
deathwatch,SPACE MARINES,DESOLATION SQUAD,YOUR 1ST UNIT COSTS,5,180,v1.0
deathwatch,SPACE MARINES,DESOLATION SQUAD,YOUR 2ND + UNIT COSTS,5,210,v1.0
deathwatch,SPACE MARINES,DREADNOUGHT,YOUR UNIT COSTS,1,135,v1.0
deathwatch,SPACE MARINES,DROP POD,YOUR UNIT COSTS,1,70,v1.0
deathwatch,SPACE MARINES,ELIMINATOR SQUAD,YOUR UNIT COSTS,3,75,v1.0
deathwatch,SPACE MARINES,ERADICATOR SQUAD,YOUR 1ST TO 2ND UNITS COST,3,90,v1.0
deathwatch,SPACE MARINES,ERADICATOR SQUAD,YOUR 1ST TO 2ND UNITS COST,6,180,v1.0
deathwatch,SPACE MARINES,ERADICATOR SQUAD,YOUR 3RD + UNIT COSTS,3,100,v1.0
deathwatch,SPACE MARINES,ERADICATOR SQUAD,YOUR 3RD + UNIT COSTS,6,190,v1.0
deathwatch,SPACE MARINES,ERADICATOR SQUAD WITH HEAVY BOLTERS,YOUR 1ST TO 2ND UNITS COST,3,70,v1.0
deathwatch,SPACE MARINES,ERADICATOR SQUAD WITH HEAVY BOLTERS,YOUR 3RD + UNIT COSTS,3,80,v1.0
deathwatch,SPACE MARINES,FIRESTRIKE SERVO-TURRETS,YOUR UNIT COSTS,1,75,v1.0
deathwatch,SPACE MARINES,FIRESTRIKE SERVO-TURRETS,YOUR UNIT COSTS,2,150,v1.0
deathwatch,SPACE MARINES,GLADIATOR LANCER,YOUR 1ST TO 2ND UNITS COST,1,160,v1.0
deathwatch,SPACE MARINES,GLADIATOR LANCER,YOUR 3RD + UNIT COSTS,1,170,v1.0
deathwatch,SPACE MARINES,GLADIATOR REAPER,YOUR 1ST TO 2ND UNITS COST,1,160,v1.0
deathwatch,SPACE MARINES,GLADIATOR REAPER,YOUR 3RD + UNIT COSTS,1,170,v1.0
deathwatch,SPACE MARINES,GLADIATOR VALIANT,YOUR 1ST TO 2ND UNITS COST,1,150,v1.0
deathwatch,SPACE MARINES,GLADIATOR VALIANT,YOUR 3RD + UNIT COSTS,1,160,v1.0
deathwatch,SPACE MARINES,HAMMERFALL BUNKER,YOUR UNIT COSTS,1,175,v1.0
deathwatch,SPACE MARINES,HEAVY INTERCESSOR SQUAD,YOUR UNIT COSTS,5,100,v1.0
deathwatch,SPACE MARINES,HEAVY INTERCESSOR SQUAD,YOUR UNIT COSTS,10,200,v1.0
deathwatch,SPACE MARINES,HELLBLASTER SQUAD,YOUR UNIT COSTS,5,110,v1.0
deathwatch,SPACE MARINES,HELLBLASTER SQUAD,YOUR UNIT COSTS,10,220,v1.0
deathwatch,SPACE MARINES,IMPULSOR,YOUR UNIT COSTS,1,80,v1.0
deathwatch,SPACE MARINES,INCEPTOR SQUAD,YOUR 1ST TO 2ND UNITS COST,3,120,v1.0
deathwatch,SPACE MARINES,INCEPTOR SQUAD,YOUR 1ST TO 2ND UNITS COST,6,240,v1.0
deathwatch,SPACE MARINES,INCEPTOR SQUAD,YOUR 3RD + UNIT COSTS,3,135,v1.0
deathwatch,SPACE MARINES,INCEPTOR SQUAD,YOUR 3RD + UNIT COSTS,6,255,v1.0
deathwatch,SPACE MARINES,INCURSOR SQUAD,YOUR 1ST TO 2ND UNITS COST,5,85,v1.0
deathwatch,SPACE MARINES,INCURSOR SQUAD,YOUR 1ST TO 2ND UNITS COST,10,150,v1.0
deathwatch,SPACE MARINES,INCURSOR SQUAD,YOUR 3RD + UNIT COSTS,5,95,v1.0
deathwatch,SPACE MARINES,INCURSOR SQUAD,YOUR 3RD + UNIT COSTS,10,160,v1.0
deathwatch,SPACE MARINES,INFERNUS SQUAD,YOUR UNIT COSTS,5,85,v1.0
deathwatch,SPACE MARINES,INFERNUS SQUAD,YOUR UNIT COSTS,10,170,v1.0
deathwatch,SPACE MARINES,INFILTRATOR SQUAD,YOUR 1ST TO 2ND UNITS COST,5,110,v1.0
deathwatch,SPACE MARINES,INFILTRATOR SQUAD,YOUR 1ST TO 2ND UNITS COST,10,180,v1.0
deathwatch,SPACE MARINES,INFILTRATOR SQUAD,YOUR 3RD + UNIT COSTS,5,120,v1.0
deathwatch,SPACE MARINES,INFILTRATOR SQUAD,YOUR 3RD + UNIT COSTS,10,190,v1.0
deathwatch,SPACE MARINES,INTERCESSOR SQUAD,YOUR UNIT COSTS,5,80,v1.0
deathwatch,SPACE MARINES,INTERCESSOR SQUAD,YOUR UNIT COSTS,10,150,v1.0
deathwatch,SPACE MARINES,INVADER ATV,YOUR UNIT COSTS,1,60,v1.0
deathwatch,SPACE MARINES,INVICTOR TACTICAL WARSUIT,YOUR UNIT COSTS,1,125,v1.0
deathwatch,SPACE MARINES,JUDICIAR,YOUR UNIT COSTS,1,55,v1.0
deathwatch,SPACE MARINES,LAND RAIDER,YOUR 1ST TO 2ND UNITS COST,1,220,v1.0
deathwatch,SPACE MARINES,LAND RAIDER,YOUR 3RD + UNIT COSTS,1,240,v1.0
deathwatch,SPACE MARINES,LAND RAIDER CRUSADER,YOUR 1ST TO 2ND UNITS COST,1,220,v1.0
deathwatch,SPACE MARINES,LAND RAIDER CRUSADER,YOUR 3RD + UNIT COSTS,1,240,v1.0
deathwatch,SPACE MARINES,LAND RAIDER REDEEMER,YOUR 1ST TO 2ND UNITS COST,1,250,v1.0
deathwatch,SPACE MARINES,LAND RAIDER REDEEMER,YOUR 3RD + UNIT COSTS,1,270,v1.0
deathwatch,SPACE MARINES,LAND SPEEDER,YOUR 1ST TO 2ND UNITS COST,1,95,v1.0
deathwatch,SPACE MARINES,LAND SPEEDER,YOUR 3RD + UNIT COSTS,1,105,v1.0
deathwatch,SPACE MARINES,LIBRARIAN,YOUR UNIT COSTS,1,60,v1.0
deathwatch,SPACE MARINES,LIBRARIAN IN PHOBOS ARMOUR,YOUR UNIT COSTS,1,70,v1.0
deathwatch,SPACE MARINES,LIBRARIAN IN TERMINATOR ARMOUR,YOUR UNIT COSTS,1,75,v1.0
deathwatch,SPACE MARINES,LIEUTENANT,YOUR UNIT COSTS,1,45,v1.0
deathwatch,SPACE MARINES,LIEUTENANT IN PHOBOS ARMOUR,YOUR UNIT COSTS,1,45,v1.0
deathwatch,SPACE MARINES,LIEUTENANT IN REIVER ARMOUR,YOUR UNIT COSTS,1,45,v1.0
deathwatch,SPACE MARINES,LIEUTENANT WITH COMBI-WEAPON,YOUR UNIT COSTS,1,85,v1.0
deathwatch,SPACE MARINES,OUTRIDER SQUAD,YOUR UNIT COSTS,3,70,v1.0
deathwatch,SPACE MARINES,OUTRIDER SQUAD,YOUR UNIT COSTS,6,140,v1.0
deathwatch,SPACE MARINES,OUTRIDER SQUAD,YOUR UNIT COSTS,1,60,v1.0
deathwatch,SPACE MARINES,PREDATOR ANNIHILATOR,YOUR 1ST TO 2ND UNITS COST,1,135,v1.0
deathwatch,SPACE MARINES,PREDATOR ANNIHILATOR,YOUR 3RD + UNIT COSTS,1,145,v1.0
deathwatch,SPACE MARINES,PREDATOR DESTRUCTOR,YOUR 1ST TO 2ND UNITS COST,1,140,v1.0
deathwatch,SPACE MARINES,PREDATOR DESTRUCTOR,YOUR 3RD + UNIT COSTS,1,150,v1.0
deathwatch,SPACE MARINES,RAZORBACK,YOUR UNIT COSTS,1,95,v1.0
deathwatch,SPACE MARINES,REDEMPTOR DREADNOUGHT,YOUR 1ST TO 2ND UNITS COST,1,195,v1.0
deathwatch,SPACE MARINES,REDEMPTOR DREADNOUGHT,YOUR 3RD + UNIT COSTS,1,210,v1.0
deathwatch,SPACE MARINES,REDEMPTOR DREADNOUGHT,WARGEAR OPTIONS,,10,v1.0
deathwatch,SPACE MARINES,REIVER SQUAD,YOUR UNIT COSTS,5,75,v1.0
deathwatch,SPACE MARINES,REIVER SQUAD,YOUR UNIT COSTS,10,150,v1.0
deathwatch,SPACE MARINES,REPULSOR,YOUR 1ST TO 2ND UNITS COST,1,170,v1.0
deathwatch,SPACE MARINES,REPULSOR,YOUR 3RD + UNIT COSTS,1,190,v1.0
deathwatch,SPACE MARINES,REPULSOR EXECUTIONER,YOUR 1ST TO 2ND UNITS COST,1,230,v1.0
deathwatch,SPACE MARINES,REPULSOR EXECUTIONER,YOUR 3RD + UNIT COSTS,1,250,v1.0
deathwatch,SPACE MARINES,RHINO,YOUR UNIT COSTS,1,75,v1.0
deathwatch,SPACE MARINES,STERNGUARD VETERAN SQUAD,YOUR UNIT COSTS,5,100,v1.0
deathwatch,SPACE MARINES,STERNGUARD VETERAN SQUAD,YOUR UNIT COSTS,10,190,v1.0
deathwatch,SPACE MARINES,STORMHAWK INTERCEPTOR,YOUR UNIT COSTS,1,155,v1.0
deathwatch,SPACE MARINES,STORMRAVEN GUNSHIP,YOUR 1ST UNIT COSTS,1,280,v1.0
deathwatch,SPACE MARINES,STORMRAVEN GUNSHIP,YOUR 2ND + UNIT COSTS,1,300,v1.0
deathwatch,SPACE MARINES,STORM SPEEDER HAILSTRIKE,YOUR 1ST TO 2ND UNITS COST,1,105,v1.0
deathwatch,SPACE MARINES,STORM SPEEDER HAILSTRIKE,YOUR 3RD + UNIT COSTS,1,115,v1.0
deathwatch,SPACE MARINES,STORM SPEEDER HAMMERSTRIKE,YOUR 1ST TO 2ND UNITS COST,1,130,v1.0
deathwatch,SPACE MARINES,STORM SPEEDER HAMMERSTRIKE,YOUR 3RD + UNIT COSTS,1,140,v1.0
deathwatch,SPACE MARINES,STORM SPEEDER THUNDERSTRIKE,YOUR 1ST TO 2ND UNITS COST,1,135,v1.0
deathwatch,SPACE MARINES,STORM SPEEDER THUNDERSTRIKE,YOUR 3RD + UNIT COSTS,1,145,v1.0
deathwatch,SPACE MARINES,STORMTALON GUNSHIP,YOUR UNIT COSTS,1,165,v1.0
deathwatch,SPACE MARINES,SUPPRESSOR SQUAD,YOUR UNIT COSTS,3,75,v1.0
deathwatch,SPACE MARINES,TECHMARINE,YOUR UNIT COSTS,1,55,v1.0
deathwatch,SPACE MARINES,THUNDERHAWK GUNSHIP,YOUR UNIT COSTS,1,840,v1.0
deathwatch,SPACE MARINES,VANGUARD VETERAN SQUAD WITH JUMP PACKS,YOUR 1ST TO 2ND UNITS COST,5,100,v1.0
deathwatch,SPACE MARINES,VANGUARD VETERAN SQUAD WITH JUMP PACKS,YOUR 1ST TO 2ND UNITS COST,10,200,v1.0
deathwatch,SPACE MARINES,VANGUARD VETERAN SQUAD WITH JUMP PACKS,YOUR 3RD + UNIT COSTS,5,110,v1.0
deathwatch,SPACE MARINES,VANGUARD VETERAN SQUAD WITH JUMP PACKS,YOUR 3RD + UNIT COSTS,10,210,v1.0
deathwatch,SPACE MARINES,VINDICATOR,YOUR 1ST TO 2ND UNITS COST,1,185,v1.0
deathwatch,SPACE MARINES,VINDICATOR,YOUR 3RD + UNIT COSTS,1,200,v1.0
deathwatch,SPACE MARINES,WHIRLWIND,YOUR 1ST UNIT COSTS,1,175,v1.0
deathwatch,SPACE MARINES,WHIRLWIND,YOUR 2ND + UNIT COSTS,1,195,v1.0
drukhari,UNITS,ARCHON,YOUR UNIT COSTS,1,80,v1.0
drukhari,UNITS,CRONOS,YOUR UNIT COSTS,1,55,v1.0
drukhari,UNITS,CRONOS,YOUR UNIT COSTS,2,100,v1.0
drukhari,UNITS,DRAZHAR,YOUR UNIT COSTS,1,85,v1.0
drukhari,UNITS,HAEMONCULUS,YOUR UNIT COSTS,1,50,v1.0
drukhari,UNITS,HAND OF THE ARCHON,YOUR UNIT COSTS,10,115,v1.0
drukhari,UNITS,HELLIONS,YOUR 1ST TO 2ND UNITS COST,5,90,v1.0
drukhari,UNITS,HELLIONS,YOUR 1ST TO 2ND UNITS COST,10,180,v1.0
drukhari,UNITS,HELLIONS,YOUR 3RD + UNIT COSTS,5,100,v1.0
drukhari,UNITS,HELLIONS,YOUR 3RD + UNIT COSTS,10,190,v1.0
drukhari,UNITS,INCUBI,YOUR 1ST TO 2ND UNITS COST,5,90,v1.0
drukhari,UNITS,INCUBI,YOUR 1ST TO 2ND UNITS COST,10,180,v1.0
drukhari,UNITS,INCUBI,YOUR 3RD + UNIT COSTS,5,100,v1.0
drukhari,UNITS,INCUBI,YOUR 3RD + UNIT COSTS,10,190,v1.0
drukhari,UNITS,KABALITE WARRIORS,YOUR UNIT COSTS,10,110,v1.0
drukhari,UNITS,LADY MALYS,YOUR UNIT COSTS,1,100,v1.0
drukhari,UNITS,LELITH HESPERAX,YOUR UNIT COSTS,1,80,v1.0
drukhari,UNITS,MANDRAKES,YOUR 1ST TO 2ND UNITS COST,5,80,v1.0
drukhari,UNITS,MANDRAKES,YOUR 1ST TO 2ND UNITS COST,10,160,v1.0
drukhari,UNITS,MANDRAKES,YOUR 3RD + UNIT COSTS,5,90,v1.0
drukhari,UNITS,MANDRAKES,YOUR 3RD + UNIT COSTS,10,170,v1.0
drukhari,UNITS,RAIDER,YOUR UNIT COSTS,1,85,v1.0
drukhari,UNITS,RAVAGER,YOUR 1ST TO 2ND UNITS COST,1,100,v1.0
drukhari,UNITS,RAVAGER,YOUR 3RD + UNIT COSTS,1,110,v1.0
drukhari,UNITS,RAVAGER,WARGEAR OPTIONS,,5,v1.0
drukhari,UNITS,RAZORWING JETFIGHTER,YOUR UNIT COSTS,1,170,v1.0
drukhari,UNITS,REAVERS,YOUR 1ST TO 2ND UNITS COST,3,75,v1.0
drukhari,UNITS,REAVERS,YOUR 1ST TO 2ND UNITS COST,6,150,v1.0
drukhari,UNITS,REAVERS,YOUR 3RD + UNIT COSTS,3,85,v1.0
drukhari,UNITS,REAVERS,YOUR 3RD + UNIT COSTS,6,160,v1.0
drukhari,UNITS,SCOURGES WITH HEAVY WEAPONS,YOUR 1ST TO 2ND UNITS COST,5,110,v1.0
drukhari,UNITS,SCOURGES WITH HEAVY WEAPONS,YOUR 3RD + UNIT COSTS,5,120,v1.0
drukhari,UNITS,SCOURGES WITH HEAVY WEAPONS,WARGEAR OPTIONS,,5,v1.0
drukhari,UNITS,SCOURGES WITH HEAVY WEAPONS,WARGEAR OPTIONS,,5,v1.0
drukhari,UNITS,SCOURGES WITH SHARDCARBINES,YOUR 1ST TO 2ND UNITS COST,5,75,v1.0
drukhari,UNITS,SCOURGES WITH SHARDCARBINES,YOUR 3RD + UNIT COSTS,5,85,v1.0
drukhari,UNITS,SUCCUBUS,YOUR UNIT COSTS,1,50,v1.0
drukhari,UNITS,TALOS,YOUR 1ST TO 2ND UNITS COST,1,75,v1.0
drukhari,UNITS,TALOS,YOUR 1ST TO 2ND UNITS COST,2,150,v1.0
drukhari,UNITS,TALOS,YOUR 3RD + UNIT COSTS,1,85,v1.0
drukhari,UNITS,TALOS,YOUR 3RD + UNIT COSTS,2,160,v1.0
drukhari,UNITS,TALOS,WARGEAR OPTIONS,,5,v1.0
drukhari,UNITS,VENOM,YOUR UNIT COSTS,1,70,v1.0
drukhari,UNITS,VOIDRAVEN BOMBER,YOUR UNIT COSTS,1,245,v1.0
drukhari,UNITS,WRACKS,YOUR UNIT COSTS,5,60,v1.0
drukhari,UNITS,WRACKS,YOUR UNIT COSTS,8,100,v1.0
drukhari,UNITS,WRACKS,YOUR UNIT COSTS,10,120,v1.0
drukhari,UNITS,WYCHES,YOUR UNIT COSTS,10,90,v1.0
emperors-children,UNITS,CHAOS LAND RAIDER,YOUR 1ST TO 2ND UNITS COST,1,220,v1.0
emperors-children,UNITS,CHAOS LAND RAIDER,YOUR 3RD + UNIT COSTS,1,240,v1.0
emperors-children,UNITS,CHAOS RHINO,YOUR UNIT COSTS,1,80,v1.0
emperors-children,UNITS,CHAOS SPAWN,YOUR UNIT COSTS,2,70,v1.0
emperors-children,UNITS,CHAOS TERMINATORS,YOUR UNIT COSTS,5,145,v1.0
emperors-children,UNITS,DAEMON PRINCE OF SLAANESH,YOUR 1ST UNIT COSTS,1,170,v1.0
emperors-children,UNITS,DAEMON PRINCE OF SLAANESH,YOUR 2ND + UNIT COSTS,1,185,v1.0
emperors-children,UNITS,DAEMON PRINCE OF SLAANESH WITH WINGS,YOUR 1ST UNIT COSTS,1,205,v1.0
emperors-children,UNITS,DAEMON PRINCE OF SLAANESH WITH WINGS,YOUR 2ND + UNIT COSTS,1,235,v1.0
emperors-children,UNITS,DEFILER,YOUR 1ST UNIT COSTS,1,290,v1.0
emperors-children,UNITS,DEFILER,YOUR 2ND + UNIT COSTS,1,320,v1.0
emperors-children,UNITS,DEFILER,WARGEAR OPTIONS,,10,v1.0
emperors-children,UNITS,DEFILER,WARGEAR OPTIONS,,10,v1.0
emperors-children,UNITS,FLAWLESS BLADES,YOUR UNIT COSTS,3,95,v1.0
emperors-children,UNITS,FLAWLESS BLADES,YOUR UNIT COSTS,6,190,v1.0
emperors-children,UNITS,FULGRIM,YOUR UNIT COSTS,1,350,v1.0
emperors-children,UNITS,HELDRAKE,YOUR UNIT COSTS,1,175,v1.0
emperors-children,UNITS,INFRACTORS,YOUR UNIT COSTS,5,85,v1.0
emperors-children,UNITS,INFRACTORS,YOUR UNIT COSTS,10,160,v1.0
emperors-children,UNITS,LORD EXULTANT,YOUR 1ST TO 2ND UNITS COST,1,80,v1.0
emperors-children,UNITS,LORD EXULTANT,YOUR 3RD + UNIT COSTS,1,90,v1.0
emperors-children,UNITS,LORD KAKOPHONIST,YOUR UNIT COSTS,1,70,v1.0
emperors-children,UNITS,LUCIUS THE ETERNAL,YOUR UNIT COSTS,1,130,v1.0
emperors-children,UNITS,MAULERFIEND,YOUR 1ST TO 2ND UNITS COST,1,130,v1.0
emperors-children,UNITS,MAULERFIEND,YOUR 3RD + UNIT COSTS,1,140,v1.0
emperors-children,UNITS,NOISE MARINES,YOUR 1ST TO 2ND UNITS COST,6,145,v1.0
emperors-children,UNITS,NOISE MARINES,YOUR 3RD + UNIT COSTS,6,160,v1.0
emperors-children,UNITS,SORCERER,YOUR UNIT COSTS,1,60,v1.0
emperors-children,UNITS,TORMENTORS,YOUR UNIT COSTS,5,80,v1.0
emperors-children,UNITS,TORMENTORS,YOUR UNIT COSTS,10,160,v1.0
emperors-children,LEGIONS OF EXCESS,DAEMONETTES,YOUR UNIT COSTS,10,90,v1.0
emperors-children,LEGIONS OF EXCESS,FIENDS,YOUR UNIT COSTS,3,90,v1.0
emperors-children,LEGIONS OF EXCESS,FIENDS,YOUR UNIT COSTS,6,180,v1.0
emperors-children,LEGIONS OF EXCESS,KEEPER OF SECRETS,YOUR 1ST TO 2ND UNITS COST,1,255,v1.0
emperors-children,LEGIONS OF EXCESS,KEEPER OF SECRETS,YOUR 3RD + UNIT COSTS,1,270,v1.0
emperors-children,LEGIONS OF EXCESS,SEEKERS,YOUR UNIT COSTS,5,80,v1.0
emperors-children,LEGIONS OF EXCESS,SEEKERS,YOUR UNIT COSTS,10,155,v1.0
emperors-children,LEGIONS OF EXCESS,SHALAXI HELBANE,YOUR UNIT COSTS,1,340,v1.0
genestealer-cults,UNITS,ABERRANTS,YOUR 1ST TO 2ND UNITS COST,5,150,v1.0
genestealer-cults,UNITS,ABERRANTS,YOUR 1ST TO 2ND UNITS COST,10,300,v1.0
genestealer-cults,UNITS,ABERRANTS,YOUR 3RD + UNIT COSTS,5,160,v1.0
genestealer-cults,UNITS,ABERRANTS,YOUR 3RD + UNIT COSTS,10,310,v1.0
genestealer-cults,UNITS,ABOMINANT,YOUR 1ST TO 2ND UNITS COST,1,85,v1.0
genestealer-cults,UNITS,ABOMINANT,YOUR 3RD + UNIT COSTS,1,95,v1.0
genestealer-cults,UNITS,ACHILLES RIDGERUNNERS,YOUR 1ST TO 2ND UNITS COST,1,95,v1.0
genestealer-cults,UNITS,ACHILLES RIDGERUNNERS,YOUR 1ST TO 2ND UNITS COST,2,160,v1.0
genestealer-cults,UNITS,ACHILLES RIDGERUNNERS,YOUR 3RD + UNIT COSTS,1,105,v1.0
genestealer-cults,UNITS,ACHILLES RIDGERUNNERS,YOUR 3RD + UNIT COSTS,2,170,v1.0
genestealer-cults,UNITS,ACHILLES RIDGERUNNERS,WARGEAR OPTIONS,,10,v1.0
genestealer-cults,UNITS,ACOLYTE HYBRIDS WITH AUTOPISTOLS,YOUR UNIT COSTS,5,70,v1.0
genestealer-cults,UNITS,ACOLYTE HYBRIDS WITH AUTOPISTOLS,YOUR UNIT COSTS,10,130,v1.0
genestealer-cults,UNITS,ACOLYTE HYBRIDS WITH HAND FLAMERS,YOUR UNIT COSTS,5,75,v1.0
genestealer-cults,UNITS,ACOLYTE HYBRIDS WITH HAND FLAMERS,YOUR UNIT COSTS,10,150,v1.0
genestealer-cults,UNITS,ACOLYTE ICONWARD,YOUR UNIT COSTS,1,50,v1.0
genestealer-cults,UNITS,ATALAN JACKALS,YOUR 1ST TO 2ND UNITS COST,5,90,v1.0
genestealer-cults,UNITS,ATALAN JACKALS,YOUR 1ST TO 2ND UNITS COST,10,160,v1.0
genestealer-cults,UNITS,ATALAN JACKALS,YOUR 3RD + UNIT COSTS,5,100,v1.0
genestealer-cults,UNITS,ATALAN JACKALS,YOUR 3RD + UNIT COSTS,10,170,v1.0
genestealer-cults,UNITS,BENEFICTUS,YOUR UNIT COSTS,1,75,v1.0
genestealer-cults,UNITS,BIOPHAGUS,YOUR UNIT COSTS,1,50,v1.0
genestealer-cults,UNITS,CLAMAVUS,YOUR UNIT COSTS,1,50,v1.0
genestealer-cults,UNITS,GOLIATH ROCKGRINDER,YOUR 1ST TO 2ND UNITS COST,1,120,v1.0
genestealer-cults,UNITS,GOLIATH ROCKGRINDER,YOUR 3RD + UNIT COSTS,1,130,v1.0
genestealer-cults,UNITS,GOLIATH TRUCK,YOUR UNIT COSTS,1,85,v1.0
genestealer-cults,UNITS,HYBRID METAMORPHS,YOUR 1ST TO 2ND UNITS COST,5,75,v1.0
genestealer-cults,UNITS,HYBRID METAMORPHS,YOUR 1ST TO 2ND UNITS COST,10,150,v1.0
genestealer-cults,UNITS,HYBRID METAMORPHS,YOUR 3RD + UNIT COSTS,5,85,v1.0
genestealer-cults,UNITS,HYBRID METAMORPHS,YOUR 3RD + UNIT COSTS,10,160,v1.0
genestealer-cults,UNITS,JACKAL ALPHUS,YOUR UNIT COSTS,1,55,v1.0
genestealer-cults,UNITS,KELERMORPH,YOUR UNIT COSTS,1,60,v1.0
genestealer-cults,UNITS,LOCUS,YOUR UNIT COSTS,1,35,v1.0
genestealer-cults,UNITS,MAGUS,YOUR UNIT COSTS,1,50,v1.0
genestealer-cults,UNITS,NEOPHYTE HYBRIDS,YOUR UNIT COSTS,10,70,v1.0
genestealer-cults,UNITS,NEOPHYTE HYBRIDS,YOUR UNIT COSTS,20,145,v1.0
genestealer-cults,UNITS,NEXOS,YOUR UNIT COSTS,1,60,v1.0
genestealer-cults,UNITS,PATRIARCH,YOUR UNIT COSTS,1,80,v1.0
genestealer-cults,UNITS,PRIMUS,YOUR UNIT COSTS,1,70,v1.0
genestealer-cults,UNITS,PURESTRAIN GENESTEALERS,YOUR 1ST TO 2ND UNITS COST,5,80,v1.0
genestealer-cults,UNITS,PURESTRAIN GENESTEALERS,YOUR 1ST TO 2ND UNITS COST,10,140,v1.0
genestealer-cults,UNITS,PURESTRAIN GENESTEALERS,YOUR 3RD + UNIT COSTS,5,90,v1.0
genestealer-cults,UNITS,PURESTRAIN GENESTEALERS,YOUR 3RD + UNIT COSTS,10,150,v1.0
genestealer-cults,UNITS,REDUCTUS SABOTEUR,YOUR UNIT COSTS,1,70,v1.0
genestealer-cults,UNITS,SANCTUS,YOUR UNIT COSTS,1,65,v1.0
grey-knights,UNITS,BROTHER-CAPTAIN,YOUR UNIT COSTS,1,95,v1.0
grey-knights,UNITS,BROTHERHOOD CHAMPION,YOUR UNIT COSTS,1,70,v1.0
grey-knights,UNITS,BROTHERHOOD CHAPLAIN,YOUR UNIT COSTS,1,65,v1.0
grey-knights,UNITS,BROTHERHOOD LIBRARIAN,YOUR 1ST UNIT COSTS,1,90,v1.0
grey-knights,UNITS,BROTHERHOOD LIBRARIAN,YOUR 2ND + UNIT COSTS,1,100,v1.0
grey-knights,UNITS,BROTHERHOOD TECHMARINE,YOUR UNIT COSTS,1,70,v1.0
grey-knights,UNITS,BROTHERHOOD TERMINATOR SQUAD,YOUR 1ST TO 3RD UNITS COST,4,140,v1.0
grey-knights,UNITS,BROTHERHOOD TERMINATOR SQUAD,YOUR 1ST TO 3RD UNITS COST,5,175,v1.0
grey-knights,UNITS,BROTHERHOOD TERMINATOR SQUAD,YOUR 1ST TO 3RD UNITS COST,8,300,v1.0
grey-knights,UNITS,BROTHERHOOD TERMINATOR SQUAD,YOUR 1ST TO 3RD UNITS COST,10,375,v1.0
grey-knights,UNITS,BROTHERHOOD TERMINATOR SQUAD,YOUR 4TH + UNIT COSTS,4,150,v1.0
grey-knights,UNITS,BROTHERHOOD TERMINATOR SQUAD,YOUR 4TH + UNIT COSTS,5,185,v1.0
grey-knights,UNITS,BROTHERHOOD TERMINATOR SQUAD,YOUR 4TH + UNIT COSTS,8,310,v1.0
grey-knights,UNITS,BROTHERHOOD TERMINATOR SQUAD,YOUR 4TH + UNIT COSTS,10,385,v1.0
grey-knights,UNITS,BROTHERHOOD TERMINATOR SQUAD,WARGEAR OPTIONS,,5,v1.0
grey-knights,UNITS,CASTELLAN CROWE,YOUR UNIT COSTS,1,100,v1.0
grey-knights,UNITS,GRAND MASTER,YOUR UNIT COSTS,1,95,v1.0
grey-knights,UNITS,GRAND MASTER IN NEMESIS DREADKNIGHT,YOUR 1ST TO 2ND UNITS COST,1,200,v1.0
grey-knights,UNITS,GRAND MASTER IN NEMESIS DREADKNIGHT,YOUR 3RD + UNIT COSTS,1,215,v1.0
grey-knights,UNITS,GRAND MASTER IN NEMESIS DREADKNIGHT,WARGEAR OPTIONS,,15,v1.0
grey-knights,UNITS,GRAND MASTER IN NEMESIS DREADKNIGHT,WARGEAR OPTIONS,,15,v1.0
grey-knights,UNITS,GRAND MASTER VOLDUS,YOUR UNIT COSTS,1,140,v1.0
grey-knights,UNITS,GREY KNIGHTS THUNDERHAWK GUNSHIP,YOUR 1ST UNIT COSTS,1,805,v1.0
grey-knights,UNITS,GREY KNIGHTS THUNDERHAWK GUNSHIP,YOUR 2ND + UNIT COSTS,1,855,v1.0
grey-knights,UNITS,INTERCEPTOR SQUAD,YOUR 1ST TO 2ND UNITS COST,5,125,v1.0
grey-knights,UNITS,INTERCEPTOR SQUAD,YOUR 1ST TO 2ND UNITS COST,10,250,v1.0
grey-knights,UNITS,INTERCEPTOR SQUAD,YOUR 3RD + UNIT COSTS,5,135,v1.0
grey-knights,UNITS,INTERCEPTOR SQUAD,YOUR 3RD + UNIT COSTS,10,260,v1.0
grey-knights,UNITS,LAND RAIDER,YOUR 1ST TO 2ND UNITS COST,1,220,v1.0
grey-knights,UNITS,LAND RAIDER,YOUR 3RD + UNIT COSTS,1,240,v1.0
